wall_time_s,frame_timestamp_s,curobo_time_ms,ik_success,tgt_tcp_x,tgt_tcp_y,tgt_tcp_z,tgt_tcp_qw,tgt_tcp_qx,tgt_tcp_qy,tgt_tcp_qz,pb_tcp_x,pb_tcp_y,pb_tcp_z,pb_tcp_qw,pb_tcp_qx,pb_tcp_qy,pb_tcp_qz,q_tgt_1,q_tgt_2,q_tgt_3,q_tgt_4,q_tgt_5,q_tgt_6,pb_q_1,pb_q_2,pb_q_3,pb_q_4,pb_q_5,pb_q_6,t_read_pose_ms,t_pb_query_ms,t_log_enqueue_ms,t_sleep_ms,t_loop_total_ms
33.369178,1786095418.611,61.78402900695801,1,0.45100000500679016,-7.883507757190655e-13,0.6461000442504883,1.7312055948160653e-12,0.7071067811865476,0.7071067811865476,-1.7312055948160653e-12,0.4509999454021454,-4.500875228075074e-10,0.6460999250411987,-6.979360023251502e-08,0.7071067690849304,0.7071067690849304,-6.871368185557003e-08,4.5748475940854405e-07,3.2360082968807546e-07,8.007880865079642e-07,1.8924473010883958e-07,1.5707991123199463,1.5707998275756836,-1.8217545787612976e-09,-3.888178441243474e-09,1.999972245132989e-07,1.5321485235598118e-09,1.5707963265647156,1.5707963196008876,0.013299984857439995,0.011400086805224419,,53.81650011986494,120.50049984827638
33.543185,1786095418.678,66.89095497131348,1,0.4509888332862975,-1.4472558831288959e-05,0.6461017768805409,0.001474841849858495,0.7068113557644528,0.7073978788464507,-0.0019424745755457036,0.4509998857975006,2.4930214337359757e-08,0.646099865436554,-2.1046919584932766e-07,0.70710688829422,0.7071065902709961,-1.957535857854964e-07,0.002585542853921652,0.0003316956863272935,-0.00034038329613395035,-0.004830717109143734,1.5714811086654663,1.5725418329238892,4.4063673487714935e-08,2.8715680525696752e-08,2.6747183463956343e-07,2.0816014397994624e-08,1.5707966050931796,1.5707966701566658,0.008600065484642982,0.02110004425048828,,15.661699930205941,173.72979992069304
33.715443,1786095418.911,77.61478424072266,1,0.4509549092512079,-7.290121427412713e-05,0.6461060213656142,0.002885317101855855,0.7066615158643287,0.7075445487988509,-0.0013741930655885382,0.45099684596061707,-1.442204620616394e-06,0.6461006999015808,0.00027894775848835707,0.7070505023002625,0.7071629762649536,-0.00037007650826126337,0.0030870840419083834,-0.001256249495781958,0.0012442171573638916,-0.006030108779668808,1.5686805248260498,1.5726425647735596,0.0004913217685956272,6.306813803461752e-05,-6.435180425423033e-05,-0.0009178057470396743,1.5709268638276794,1.5711285046391377,0.018900027498602867,0.029099872335791588,,53.10599994845688,172.8013998363167
34.052911,1786095419.145,77.7902603149414,1,0.4509549092512079,-7.290121427412713e-05,0.6461060213656142,0.002885317101855855,0.7066615158643287,0.7075445487988509,-0.0013741930655885382,0.450979083776474,-3.117093729088083e-05,0.6461040377616882,0.0014171855291351676,0.7068783044815063,0.7073332667350769,-0.0008748016552999616,0.0030870840419083834,-0.001256249495781958,0.001244216924533248,-0.006030108779668808,1.5686805248260498,1.57264244556427,0.001677972933984861,-0.00046134556633536814,0.00045533027769906784,-0.0032423984649525136,1.570039693082657,1.5718319789612334,0.018999911844730377,0.017900019884109497,,26.340800104662776,262.8850999753922
34.191553,1786095419.378,81.74371719360352,1,0.45096257357340974,-9.590073106186752e-05,0.6461090711968898,0.002870743986485218,0.7061943702594728,0.7079892254813702,-0.005703231108785689,0.4509727358818054,-4.254715531715192e-05,0.6461054086685181,0.0018155511934310198,0.706820011138916,0.7073904275894165,-0.001010035048238933,0.00631115585565567,0.002097551478073001,-0.0020756663288921118,-0.012105917558073997,1.5748388767242432,1.5745439529418945,0.0020598413458928384,-0.0006767658312070991,0.0006691851600064843,-0.00399786796024063,1.5696713584427207,1.5720516225380052,0.01309998333454132,0.02459995448589325,,24.152500089257956,137.9686000291258
34.502667,1786095419.545,243.13640594482422,1,0.45088451640464133,-0.0001328000604948392,0.6461111289333856,0.0026793466872275353,0.7063931830069259,0.7077965279808383,-0.005056390109959169,0.450967937707901,-5.915798101341352e-05,0.6461048722267151,0.0021768955048173666,0.7066390514373779,0.7075670957565308,-0.002308849710971117,0.005598680581897497,0.0015696239424869418,-0.0015583515632897615,-0.010931172408163548,1.574196457862854,1.5743962526321411,0.0032868333783279058,3.282939329504671e-05,-3.2728694782043735e-05,-0.006343299756989787,1.5709995241136923,1.572770114326381,0.009599840268492699,0.01800013706088066,,20.42969991452992,310.60520000755787
34.643005,1786095419.845,81.33649826049805,1,0.4508299586846684,-0.00022017027223395662,0.6461919596185558,0.004152700404126648,0.7059898585328162,0.7081862837023041,-0.005767348098360884,0.45094403624534607,-8.149379573296756e-05,0.6461057662963867,0.002363024977967143,0.7065404653549194,0.7076610326766968,-0.003301722463220358,0.007074183784425259,0.0008934123325161636,-0.0010539564536884427,-0.014012578874826431,1.5733182430267334,1.5747325420379639,0.0041338162128636835,0.0005998170113953825,-0.0005950022191966298,-0.008006708083156915,1.5721457819066456,1.5733401071333903,0.01009996049106121,0.019999919459223747,,11.056300019845366,140.23150014691055
34.771764,1786095419.979,66.62249565124512,1,0.4508078766334884,-0.00023401460244665143,0.6462573104184061,0.0037322892015053915,0.7058105647615361,0.7083711236274347,-0.00527900550515895,0.45092707872390747,-9.941990720108151e-05,0.6461147665977478,0.0025699110701680183,0.7064719796180725,0.7077265977859497,-0.0037066671065986156,0.00634943600744009,0.0007896089227870107,-0.0010926061077043414,-0.012736867181956768,1.5733493566513062,1.5735193490982056,0.004559690197979896,0.0007164578758158407,-0.0007275321460080181,-0.008870496951574464,1.5724475888153375,1.5735744014197421,0.012699980288743973,0.0254001934081316,,57.61799984611571,129.5322000514716
34.94071,1786095420.079,32.21297264099121,1,0.4508019850271232,-0.00023825899866446464,0.6462608305358796,0.005238623153615435,0.7058022245619904,0.708360633265539,-0.0064023332032020625,0.4509061276912689,-0.0001231756468769163,0.6461359262466431,0.0028279833495616913,0.7063627243041992,0.7078328728675842,-0.00404985249042511,0.00834212638437748,0.0004890673444606364,-0.0007708652410656214,-0.01645355112850666,1.572833776473999,1.5755094289779663,0.004964968779023983,0.0007396978948463438,-0.0007933665124955501,-0.00971992134770537,1.5726161244479344,1.5736731271011541,0.0074999406933784485,0.008899951353669167,,32.09539991803467,168.11720002442598
35.014965,1786095420.179,29.06513214111328,1,0.4506848912415999,-0.0002740818753551124,0.6462631955674307,0.005374203675422503,0.7058714238628846,0.7082905263305195,-0.006417259467622326,0.45088592171669006,-0.0001444220688426867,0.6461586952209473,0.0031497590243816376,0.7062581777572632,0.707933783531189,-0.0043967124074697495,0.008372519165277481,0.00013949585263617337,-0.00043939592433162034,-0.016667773947119713,1.5726803541183472,1.5757344961166382,0.005427286127684539,0.0007191257777877066,-0.0008179931853909263,-0.010664809450868125,1.5727038805160007,1.573842915400402,0.00809994526207447,0.013699987903237343,,32.301200088113546,74.38189978711307
