wall_time_s,frame_timestamp_s,raw_x,raw_y,raw_z,filt_x,filt_y,filt_z,raw_qw,raw_qx,raw_qy,raw_qz,filt_qw,filt_qx,filt_qy,filt_qz,gripper_dist_mm
0.250534,1783651621.994,-0.048136625438928604,-0.03149445727467537,0.3530000150203705,-0.048136625438928604,-0.03149445727467537,0.3530000150203705,-0.0718633440393531,0.8118558001659216,-0.036861115770886424,-0.578244825021857,-0.0718633440393531,0.8118558001659216,-0.036861115770886424,-0.578244825021857,7.804966533881796
0.311068,1783651622.062,-0.04991862364113331,-0.02828902192413807,0.35350000858306885,-0.04885436501114728,-0.030173267741223246,0.35319703543933356,-0.10850696114535441,0.8059429435306098,-0.07539995924977996,-0.5770589721175369,-0.09469784774642676,0.8084485373893076,-0.060863590929974815,-0.5777013963323897,9.377481754104492
0.372918,1783651622.095,-0.050444470718503,-0.02779535111039877,0.35450001060962677,-0.04925928238766749,-0.029542649238343172,0.3535194877266705,-0.10802328210400172,0.792671870949978,-0.08578372385228833,-0.59383788044396,-0.10171230685283734,0.8002939123003168,-0.07396249757494047,-0.5862711058223867,8.114291197572285
0.432865,1783651622.161,-0.05025296285748482,-0.02837068773806095,0.35450001060962677,-0.04966276525974143,-0.029054383665775046,0.3539112194999531,-0.11096963094747113,0.7936547054442202,-0.08475605188889154,-0.5921269806399954,-0.10794211478076099,0.795852969670689,-0.08122474810943166,-0.5902279990118748,7.958742338884449
0.491756,1783651622.228,-0.05101953446865082,-0.02837068773806095,0.35450001060962677,-0.05022177548608593,-0.028770510510952627,0.3541481445713667,-0.10900695223714062,0.7927811634331002,-0.0847035468067133,-0.5936672640696913,-0.10862214071275735,0.7938956645963173,-0.08344529561135744,-0.5924253429103813,7.605384718878863
0.549109,1783651622.295,-0.050302181392908096,-0.02848152071237564,0.35350000858306885,-0.050254369233240434,-0.028652307185044537,0.3538930876165735,-0.11215699003468743,0.8009833303450421,-0.0786031777284278,-0.5828104790982379,-0.11083900518823601,0.7983527016853322,-0.08041343732942059,-0.5864139815330808,8.089804789108504
0.61637,1783651622.362,-0.050546152517199516,-0.02781640738248825,0.3525000065565109,-0.05037166690780258,-0.028311110155904352,0.35334679227714105,-0.10334087263307576,0.7920799972943978,-0.07838569480187975,-0.5964776817115353,-0.10619293450312024,0.7944826489744428,-0.07915818058790249,-0.5926671608805245,9.504718977251157
0.674649,1783651622.428,-0.0494917556643486,-0.026356947608292103,0.3505000174045563,-0.05003018083875438,-0.02750741474875537,0.35219050811320607,-0.11029658595559963,0.7912987129186605,-0.08977892532370425,-0.594660200978282,-0.10868226552273888,0.7925662763196242,-0.0855975116681106,-0.5938854509060797,10.65852496658017
0.733482,1783651622.462,-0.050513675436377525,-0.02581784874200821,0.35100001096725464,-0.05015040950460188,-0.0270496520011317,0.35187543579267877,-0.1086982897918885,0.7916119088854919,-0.08067995151175404,-0.5958405935575783,-0.10868961851796541,0.7921541634417864,-0.08345981570100429,-0.5947375953573284,11.613488564792949
0.800453,1783651622.528,-0.05065434239804745,-0.02571674808859825,0.35200001299381256,-0.05034814166913959,-0.0264931312749194,0.351925589539849,-0.10721867354131812,0.7907885442361139,-0.08029704886460347,-0.5972520559132495,-0.10785273137923179,0.7913789260105286,-0.08165999962566703,-0.5961701336544777,11.537149762561734
0.859149,1783651622.595,-0.050995172932744026,-0.027094002813100815,0.3530000150203705,-0.050605500880711946,-0.026738032379803215,0.3523482587944188,-0.10640847240703302,0.7980625780533326,-0.07985299769809966,-0.5877047364701915,-0.10702831514585094,0.79521333177094,-0.08062772768235799,-0.5913373540201742,11.683414843751546
0.919224,1783651622.662,-0.05020640604197979,-0.027176709845662117,0.3515000194311142,-0.050449100544053285,-0.026912934261124045,0.3520112389638029,-0.10361411211959681,0.7989561589872562,-0.08898373178058204,-0.5856748818793573,-0.10507634944327843,0.7973674248000798,-0.08541036453839677,-0.5881064701946249,11.866664289204753
0.981266,1783651622.729,-0.049825554713606834,-0.026986373588442802,0.3515000194311142,-0.05020717611207359,-0.026941927962327153,0.35180788417396097,-0.10793576501870042,0.8069105667831765,-0.08116359564286764,-0.5750284154594465,-0.10676972152077226,0.8030345277776091,-0.08290380436251259,-0.5803987706616817,12.16226357245124
1.042887,1783651622.795,-0.04968217760324478,-0.026926876977086067,0.3505000174045563,-0.05000358638781782,-0.026936072062373858,0.3512848788935857,-0.10701433700929197,0.8052999763861597,-0.09127443641950966,-0.5759417131648075,-0.1069122666187041,0.8043525196774984,-0.08774019915234708,-0.5778308132902027,12.324293657173927
1.101966,1783651622.828,-0.049823928624391556,-0.02624395303428173,0.3515000194311142,-0.04996027315976238,-0.026766456218616442,0.3513379006584486,-0.09956994632385095,0.7996477145562703,-0.08498485831686559,-0.5860263921111928,-0.10376183298658521,0.80234738219543,-0.0865588206923008,-0.581360241898053,13.110337539899993
1.166126,1783651622.895,-0.04937436431646347,-0.02581784874200821,0.35100001096725464,-0.04972905697818353,-0.02638636922310071,0.35120347766254123,-0.10863131648499569,0.7997379904788051,-0.08155156021479226,-0.5847800669398646,-0.10661562224221179,0.8008251364289867,-0.08362586399718344,-0.5833686011674998,12.928457365843208
1.226962,1783651622.962,-0.05009009875357151,-0.026443488895893097,0.35200001299381256,-0.04986983151726439,-0.02640900678514184,0.3515134854571432,-0.10823604808738552,0.8074996668162614,-0.08288567954784834,-0.5738982576310399,-0.10756291759448774,0.8047330830368522,-0.08319536428390217,-0.5778524164405935,13.646953147569597
1.292258,1783651623.029,-0.0513873565942049,-0.025983302854001522,0.3505000174045563,-0.05047004981863168,-0.02624021388005742,0.351112623290718,-0.10688487239432277,0.8083872496722494,-0.07627294596228901,-0.5738188880952068,-0.10717598746771406,0.8068315702232346,-0.07923535912718647,-0.5755500698161855,18.21273966700228
1.351571,1783651623.095,-0.052037084475159645,-0.025598314125090837,0.35100002586841583,-0.05109694916281943,-0.02598695635466975,0.3510686807143467,-0.10070258357549564,0.8071472234760736,-0.07155919419704694,-0.5772795085761793,-0.10351682675018306,0.8070203644999806,-0.07489571390860647,-0.5765353674320519,21.093037172387678
1.41048,1783651623.162,-0.05253478139638901,-0.02497105998918414,0.3505000174045563,-0.05168410224177374,-0.025578826405933428,0.3508436382803479,-0.09872774838406276,0.7988649887676722,-0.060649545794621645,-0.5902450287932514,-0.10063040848562305,0.8021412897491569,-0.06629603788460477,-0.5848484483422852,24.537464703328865
1.471578,1783651623.195,-0.05223453976213932,-0.024982964154332876,0.35100001096725464,-0.05182404956305412,-0.02542970721447798,0.3508814479184248,-0.10473646306375198,0.8143896477211453,-0.06479651880353786,-0.5670989209480715,-0.10259610904863958,0.8080352925653539,-0.06558439398131297,-0.576412778868587,27.013415466921106
