wall_time_s,frame_timestamp_s,raw_x,raw_y,raw_z,filt_x,filt_y,filt_z,raw_qw,raw_qx,raw_qy,raw_qz,filt_qw,filt_qx,filt_qy,filt_qz,raw_gripper_dist_mm,filt_gripper_dist_mm,curobo_time_ms,ik_success,tgt_tcp_x,tgt_tcp_y,tgt_tcp_z,tgt_tcp_qw,tgt_tcp_qx,tgt_tcp_qy,tgt_tcp_qz,pb_tcp_x,pb_tcp_y,pb_tcp_z,pb_tcp_qw,pb_tcp_qx,pb_tcp_qy,pb_tcp_qz,q_tgt_1,q_tgt_2,q_tgt_3,q_tgt_4,q_tgt_5,q_tgt_6,pb_q_1,pb_q_2,pb_q_3,pb_q_4,pb_q_5,pb_q_6
1.040422,1785915280.456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.052419,1785915280.555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.113491,1785915280.622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.283385,1785915280.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.368448,1785915280.852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.547205,1785915280.917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.610445,1785915281.081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.657696,1785915281.146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.828822,1785915281.243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.891524,1785915281.373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.075992,1785915281.406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.154266,1785915281.601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.275176,1785915281.667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.388617,1785915281.798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.449772,1785915281.897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.554208,1785915281.996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.684768,1785915282.062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.763321,1785915282.226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.905144,1785915282.291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.993489,1785915282.455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.069898,1785915282.521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.226068,1785915282.587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.287303,1785915282.753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.350177,1785915282.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.524645,1785915282.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.601128,1785915283.054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.705065,1785915283.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.805915,1785915283.254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.882384,1785915283.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.943988,1785915283.387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.10094,1785915283.454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.16242,1785915283.621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.223798,1785915283.687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.304249,1785915283.754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.464053,1785915283.921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.518998,1785915283.988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.595495,1785915284.054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.765811,1785915284.154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.82814,1785915284.288,,,,,,,,,,,,,,,37.978232191253326,37.978232191253326,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.874529,1785915284.355,,,,,,,,,,,,,,,48.85557025983715,43.96217263474978,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.04761,1785915284.388,,,,,,,,,,,,,,,51.07596558162375,46.728923815439956,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.136151,1785915284.555,,,,,,,,,,,,,,,49.32450945817274,48.31006083760094,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.155169,1785915284.622,,,,,,,,,,,,,,,50.30333552474655,49.052471704932614,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.217162,1785915284.688,,,,,,,,,,,,,,,47.88677276438408,48.81820193014878,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.387464,1785915284.822,,,,,,,,,,,,,,,47.1454155119816,48.27663591266982,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.451352,1785915284.922,,,,,,,,,,,,,,,46.122649121402794,47.59332858959939,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.571407,1785915284.989,,,,,,,,,,,,,,,46.992501426815565,47.484780018588125,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.68237,1785915285.089,,,,,,,,,,,,,,,46.16924359198163,47.10571645667157,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.761096,1785915285.222,,,,,,,,,,,,,,,45.089753571392635,46.320595119344134,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.931883,1785915285.289,,,,,,,,,,,,,,,46.22433339933463,46.30208445988126,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.012558,1785915285.456,,,,,,,,,,,,,,,46.01109509997721,46.201858851954164,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.088649,1785915285.556,,,,,,,,,,,,,,,45.056581123130215,45.85739434552369,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.244743,1785915285.656,,,,,,,,,,,,,,,45.45198150310234,45.75510379649876,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.321348,1785915285.757,,,,,,,,,,,,,,,45.18295671038028,45.602263159171,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.525288,1785915285.857,,,,,,,,,,,,,,,46.23625952762105,45.787616339928256,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.587667,1785915286.059,,,,,,,,,,,,,,,45.690922566797404,45.749799132164355,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.650625,1785915286.126,,,,,,,,,,,,,,,45.292703825476785,45.65857046586723,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.838441,1785915286.226,,,,,,,,,,,,,,,46.76313980943995,46.00491855417344,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.886175,1785915286.361,,,,,,,,,,,,,,,46.17859888756753,46.0583230366786,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.962802,1785915286.428,,,,,,,,,,,,,,,45.82744184798912,46.014205940611845,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.195068,1785915286.495,,,,,,,,,,,,,,,45.12300401089115,45.81163837931873,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.273229,1785915286.73,,,,,,,,,,,,,,,45.475991345100816,45.663434494398714,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.402657,1785915286.796,,,,,,,,,,,,,,,44.694774474157626,45.445855863281984,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.522858,1785915286.93,,,,,,,,,,,,,,,44.90999162941071,45.27185897562233,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.622328,1785915287.03,,,,,,,,,,,,,,,45.815849028292384,45.4263215165153,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.647437,1785915287.097,,,,,,,,,,,,,,,46.001500149098945,45.54739064083802,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.817674,1785915287.163,,,,,,,,,,,,,,,45.832864305844964,45.600940571250234,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.895307,1785915287.33,,,,,,,,,,,,,,,45.26669976064444,45.4773590922421,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.956873,1785915287.43,,,,,,,,,,,,,,,54.39771829796348,50.67821332028922,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.113687,1785915287.564,,,,,,,,,,,,,,,43.93371068509469,47.09281963249086,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.192083,1785915287.631,,,,,,,,,,,,,,,44.138379965636254,46.18628700445328,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.362163,1785915287.764,,,,,,,,,,,,,,,42.19470914965612,44.24494995574849,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.438793,1785915287.898,,,,,,,,,,,,,,,41.97121555337572,43.27612120093197,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.626928,1785915287.964,,,,,,,,,,,,,,,44.166785790465276,43.48039714936028,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.702571,1785915288.164,,,,,,,,,,,,,,,45.85437746589302,44.693372417443435,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.765352,1785915288.231,,,,,,,,,,,,,,,47.94593180685172,45.7823612515549,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.921271,1785915288.298,,,,,,,,,,,,,,,47.91427457611296,46.406159334478545,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.029573,1785915288.465,,,,,,,,,,,,,,,45.71175699433823,46.137285080359035,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.203826,1785915288.531,,,,,,,,,,,,,,,47.249383534802845,46.40624170951966,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.358106,1785915288.732,,,,,,,,,,,,,,,46.85108619152682,46.59122957926799,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.460433,1785915288.898,,,,,,,,,,,,,,,47.16066875422904,46.80558317925018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.511886,1785915288.965,,,,,,,,,,,,,,,46.410992226895814,46.724926438029165,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.177608,1785915290.566,,,,,,,,,,,,,,,58.73850690005399,57.46749458067475,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.237957,1785915290.7,,,,,,,,,,,,,,,36.5176879672184,41.21875067043007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.283309,1785915290.766,,,,,,,,,,,,,,,44.840560542754424,42.42231614758183,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.455824,1785915290.8,,,,,,,,,,,,,,,46.641530227566356,42.909262444250544,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.534562,1785915291.0,,,,,,,,,,,,,,,45.5782606118947,44.155548616026124,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.5817,1785915291.067,,,,,,,,,,,,,,,43.4293494129695,43.923739259913084,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.752335,1785915291.1,,,,,,,,,,,,,,,40.62292079848019,43.049104047596636,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.799644,1785915291.267,,,,,,,,,,,,,,,80.97919867532991,75.84105117713459,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.861628,1785915291.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
