wall_time_s,frame_timestamp_s,raw_x,raw_y,raw_z,filt_x,filt_y,filt_z,raw_qw,raw_qx,raw_qy,raw_qz,filt_qw,filt_qx,filt_qy,filt_qz,raw_gripper_dist_mm,filt_gripper_dist_mm
4.856909,1786095390.198,,,,,,,,,,,,,,,,
5.027456,1786095390.33,,,,,,,,,,,,,,,25.085245074484547,25.085245074484547
5.116867,1786095390.494,,,,,,,,,,,,,,,69.78218986451186,65.82825672813728
5.175188,1786095390.56,,,,,,,,,,,,,,,22.54377727645932,69.01397363651218
5.23704,1786095390.625,,,,,,,,,,,,,,,31.594265595957655,69.6310873783541
5.397561,1786095390.658,0.025141263380646706,0.13926200568675995,0.38100001215934753,0.025141263380646706,0.13926200568675995,0.38100001215934753,-0.1464136933582124,-0.12599510105944825,-0.07371673093174691,0.9783936367776331,-0.14641369335821242,-0.12599510105944828,-0.07371673093174692,0.9783936367776332,44.52067988024994,69.733026073619
5.45534,1786095390.822,0.0244444552809,0.13957883417606354,0.3830000162124634,0.02510834103340776,0.1392698410119279,0.3812343204539673,-0.14033237840839674,-0.01629980443681247,-0.028974502910927222,0.9895461677590536,-0.14384988551746752,-0.07529806063096295,-0.0530780665771193,0.9853020508200835,41.58461370404762,44.07464833454023
5.529541,1786095390.888,0.025620562955737114,0.1404537707567215,0.38200002908706665,0.02512458680379181,0.13931543199435695,0.381236325319952,-0.14649176424566554,-0.027127235367423355,-0.02161061235688376,0.9886036908403049,-0.14474747285296327,-0.05990937340748269,-0.04302685976289778,0.9867156254055913,43.546446653561965,43.649071834360115
5.604589,1786095390.955,0.025687631219625473,0.13999304175376892,0.3830000162124634,0.025139133453890055,0.13932352212025365,0.3813024276327149,-0.14365777213231648,8.21644210131155e-05,-0.01755536756912727,0.989471700870975,-0.14441426757556938,-0.03763156366760649,-0.0335767906049289,0.9882312400795754,43.00365608898104,43.127542722930386
5.678749,1786095391.055,0.026516417041420937,0.13999304175376892,0.3830000162124634,0.025224053835057027,0.13933164940243564,0.3813628461758109,-0.1356770013947527,-0.00846728907266406,-0.018657513383547052,0.9905412427065472,-0.1407439686228426,-0.025317790776233404,-0.027279575087085818,0.9893462334034386,42.799630172357745,42.850091493083
5.848946,1786095391.155,0.026930810883641243,0.1404072344303131,0.3830000162124634,0.025323180566187153,0.13936180264129294,0.3814010240723185,-0.13140596270002278,-0.0034902121801649124,-0.01786222880328899,0.9911615570470823,-0.1372622384636315,-0.0171559417430929,-0.023759461538539042,0.9901011259170749,44.08502277663797,43.66493213880663
5.904159,1786095391.289,0.026930810883641243,0.1408214420080185,0.3830000162124634,0.025395026882084337,0.13942692579099636,0.3814312910832738,-0.132910978761131,-0.0053811663940051225,-0.01785750462586791,0.9909524833722024,-0.13571597138501906,-0.012963803800280631,-0.021658541200661015,0.9904261822544412,42.677649633991415,42.89113789844176
5.97123,1786095391.322,0.026930810883641243,0.13999304175376892,0.3830000162124634,0.025409811476045863,0.139432668277216,0.3814377176688911,-0.13564161348548626,-0.00939256212216457,-0.018784203188899274,0.9905353533208158,-0.13570777865950973,-0.012563516996022693,-0.02133637940802958,0.9904394558809482,42.557610115535695,42.74067776240092
6.039019,1786095391.389,0.0273452028632164,0.13999304175376892,0.3830000162124634,0.025466071456530123,0.1394410940164455,0.38144780865800154,-0.13158004748771296,0.0073281930513146775,-0.016427773157403628,0.9911423293144244,-0.134833385718302,-0.008326266900176824,-0.02029143685247528,0.9906255038942358,42.557610115535695,42.63945832337467
6.121392,1786095391.489,0.027759596705436707,0.1408214420080185,0.3830000162124634,0.02557268136719674,0.13948291935973725,0.3814588606103941,-0.1262953260783829,0.002652169437338526,-0.016844764868168487,0.9918461123100533,-0.13265963958857374,-0.00552797217346202,-0.019413261443838196,0.9909560973262097,42.591438417313384,42.6131298905195
6.296242,1786095391.555,0.027759596705436707,0.14123563468456268,0.3830000162124634,0.025622582320536633,0.1395347007405937,0.3814649294172362,-0.12575938124194183,-0.02561784698342117,-0.020436767533712902,0.9915193606170033,-0.13128379680179192,-0.009547882434089154,-0.019618754191119907,0.9911046902937747,41.81377677162079,42.15491558834891
6.356828,1786095391.722,0.0273452028632164,0.14123563468456268,0.3830000162124634,0.025632240513316557,0.13960055331762952,0.3814764591807058,-0.12716836628606742,0.001572033872027901,-0.017099608070543806,0.9917324935331461,-0.13002703062994359,-0.006146694388732865,-0.01884850974722111,0.9913122228309103,39.51447801115991,39.912992644365914
6.421153,1786095391.789,0.02768711745738983,0.13962753117084503,0.38200002908706665,0.02566205612918619,0.13960188884041982,0.38149595565284944,-0.21219324141329113,-0.0068579000622571995,-0.018805281730967648,0.9770227013147011,-0.1296158874501527,-0.005035050366216425,-0.01859671094346735,0.9913770888669983,39.25594423816043,39.4831908845921
6.479765,1786095391.855,0.028100425377488136,0.13962753117084503,0.38200002908706665,0.025724042842709235,0.13960280074679807,0.38150946567845684,-0.26388963717098224,-0.034744057423195425,-0.05472876836136673,0.9623720028041075,-0.12928621142459085,-0.004144043455070794,-0.018394870158010578,0.991428026228424,40.62519135727349,39.745291218971246
6.552213,1786095391.922,0.030993599444627762,0.13838817179203033,0.38200002908706665,0.026317727371364192,0.13952005316145857,0.38151922511812575,-0.27899733232356927,-0.07488583316189643,-0.051690482216583816,0.9559710741419939,-0.1290149695650923,-0.003411209837680732,-0.01822884816928233,0.9914692180647783,40.128837029587785,39.890280476662156
6.735092,1786095392.022,0.029002772644162178,0.137093648314476,0.3830000162124634,0.02637310240949724,0.13923902258785373,0.3815692373694604,-0.2929705510248105,-0.06280466893239756,-0.05884792265642725,0.9522398604298887,-0.12872638163492287,-0.002631753476012409,-0.018052251632987217,0.9915123341420423,39.83522031616463,39.86228677478485
6.808013,1786095392.189,0.030660344287753105,0.137093648314476,0.3830000162124634,0.02685453684338556,0.13902740232162486,0.3816124883968906,-0.28796912829794485,-0.021668036775377025,-0.045559995237694786,0.9563098682767861,-0.2187680091587121,-0.013351790985370468,-0.03359177246113181,0.97510711240824,39.950050662130764,39.90450044203706
6.877365,1786095392.223,0.02983155846595764,0.137093648314476,0.3830000162124634,0.026863667455960426,0.13899219114014486,0.38161996441493035,-0.28083582093111814,-0.041912571023729514,-0.051608325249314344,0.9574503427526081,-0.22539730730598545,-0.016380357313169707,-0.03550855871732446,0.9734818334264499,41.03170746857952,40.343342893719274
6.954528,1786095392.323,0.02983155846595764,0.13833624124526978,0.3830000162124634,0.026883622412592977,0.13897195979242424,0.3816349758971493,-0.24952867333276904,-0.20130509702238858,-0.09175057033130446,0.9427584695676169,-0.2513191451643782,-0.028272498098121907,-0.043020643829520096,0.9665343125464463,25.3479503678683,27.406857869270763
7.031626,1786095392.39,0.026930810883641243,0.13833624124526978,0.3830000162124634,0.026888236837386847,0.13896217700252014,0.38164285936939657,-0.1914363859847684,-0.049344334581026585,-0.018795505624347637,0.9800836575181587,-0.2618574776256861,-0.033130187856298475,-0.046082514968031035,0.9634362739062406,39.57394523897875,37.23849684662794
7.185832,1786095392.49,0.026930810883641243,0.13957883417606354,0.3830000162124634,0.02689212689229492,0.13900562139713765,0.38165167303111075,-0.14512060834138008,-0.0022890690153702887,-0.009152366195822888,0.9893689925354889,-0.26927476798526834,-0.036557324058811555,-0.04824035574108791,0.9611594714000962,40.99475951545109,40.47901460428951
7.261293,1786095392.624,0.028927046805620193,0.14086687564849854,0.38200002908706665,0.02698533557836801,0.13922127311313315,0.3816711367240481,-0.13726042119440157,-0.005727869583947503,-0.0007937359033442092,0.9905181160720284,-0.2735348494858048,-0.03852873351961775,-0.049480745631125,0.9598155440614308,42.41913512245485,42.172677977762795
