wall_time_s,frame_timestamp_s,raw_x,raw_y,raw_z,filt_x,filt_y,filt_z,raw_qw,raw_qx,raw_qy,raw_qz,filt_qw,filt_qx,filt_qy,filt_qz,raw_gripper_dist_mm,filt_gripper_dist_mm
0.213937,1784253802.513,-0.027426181361079216,0.07279748469591141,0.3960000276565552,-0.027426181361079216,0.07279748469591141,0.3960000276565552,0.5061224228644994,0.5413401222029521,0.5596383461248031,-0.37093919544011106,0.5061224228644994,0.5413401222029521,0.5596383461248031,-0.37093919544011106,96.62946475954482,96.62946475954482
0.278126,1784253802.579,-0.02228468470275402,0.07236922532320023,0.3960000276565552,-0.02648188622231855,0.0727604121036813,0.3960000276565552,0.48631486049646017,0.5602947079959555,0.5543050079340612,-0.3772448208143564,0.49783057450032625,0.5493774054211498,0.5574480142500927,-0.3736320341111414,70.77989329368891,87.89984009487762
0.340286,1784253802.645,-0.021911418065428734,0.07512801140546799,0.3970000147819519,-0.02574038162780347,0.0730706456666804,0.3960995835292448,0.4825090506904583,0.5565864645711678,0.5680500270426578,-0.36703636091645825,0.4911720532130097,0.5525530188105169,0.5621045986772512,-0.3707743190834384,71.63722644227944,82.63410039644853
0.404755,1784253802.71,-0.02148187905550003,0.07512801140546799,0.3970000147819519,-0.025119006168165012,0.07330592950031105,0.3961821842555161,0.4650888936810037,0.5730608720929316,0.5618492940649623,-0.3736561636175326,0.47932800492023464,0.561994598934586,0.5620653763605523,-0.3721414343555578,70.45445135327259,78.81055630833326
0.471808,1784253802.776,-0.02148187905550003,0.07469867169857025,0.3970000147819519,-0.024653056749905033,0.07343842190595652,0.39625436577480505,0.46336747935698513,0.5723260000662943,0.5642374839179785,-0.3733223680204269,0.47198804459971466,0.566785666881821,0.5630929419610393,-0.37270314230755935,70.99331382346716,76.39198130364204
0.533327,1784253802.841,-0.02148187905550003,0.07469867169857025,0.3970000147819519,-0.02429712359653981,0.07355006723123587,0.39631679635926564,0.4790408006618023,0.5664272976683897,0.5568313118150583,-0.37365614934014657,0.4751513527988609,0.5666315035328774,0.5602953972024706,-0.3731340228539995,71.5321094621443,74.9312563078708
0.592448,1784253802.906,-0.020999310538172722,0.07365400344133377,0.3960000276565552,-0.023926426488940132,0.07355944829515433,0.39628744360204315,0.4760285543405943,0.5719190659726029,0.5530014508911353,-0.3748263501165955,0.475542619758438,0.5689659624193399,0.557089141200748,-0.37388318918845365,70.59347919004783,73.63333570389116
0.652172,1784253802.972,-0.02148187905550003,0.07426933199167252,0.3970000147819519,-0.0237004095943458,0.07361647808154063,0.396349793451384,0.4760573097411721,0.5638130392940255,0.5613292385967743,-0.37469158045037143,0.475769506680409,0.5667242172608521,0.558939495862152,-0.3742374621126513,72.1973965344514,73.2071247692812
0.713641,1784253803.004,-0.02148187905550003,0.07555735111236572,0.3970000147819519,-0.023599084857210777,0.07373033240122814,0.3963780559148801,0.467843501313885,0.5689449228857683,0.5658042583956693,-0.3705262125439963,0.4735683132175357,0.5673499950642558,0.5608585138879856,-0.3732087394692781,71.5321094621443,72.9216390107011
0.78512,1784253803.069,-0.020999310538172722,0.07408225536346436,0.3960000276565552,-0.023350140732029012,0.073759424537173,0.39634323103092745,0.4757481270907155,0.5697906360385968,0.5535594574983189,-0.3775900921191851,0.4745197380515915,0.568415642533945,0.5576946235481086,-0.37511515883486346,70.73275753156702,72.27677270921777
0.847301,1784253803.133,-0.02142776921391487,0.07408225536346436,0.3960000276565552,-0.023198156860753195,0.07378508447605786,0.3963136499267729,0.4883124799740266,0.5519065112564419,0.5592136839939628,-0.37977648738206443,0.4806423883767247,0.5611553993231742,0.5583992837137087,-0.37719723256405757,71.13076258390204,71.94516278813725
0.915257,1784253803.197,-0.021911418065428734,0.07469867169857025,0.3970000147819519,-0.023092313107894523,0.07386271361093147,0.3963746502961616,0.4656357446430814,0.5691836019095832,0.5688850703181858,-0.36821618296455816,0.473925270828381,0.5647975267873725,0.5631459631059348,-0.3731825500242501,71.67100941237092,71.86630507125449
